Rowname,Author,Year,Site_Description,Soil_Description,Vegetation,Thaw_Age,Thaw_Feature,Depth,Compound,Oxygen,Temperature_C,Time_d,Replicate,Cumulative_mgC_per_gSoil,Moisture,Rate_mgC_per_gSoil_day,Data_Source,Sample_Num
Lee_2012_EML-mExt_CO2_Anaerobic_15C_D500_R1,Lee,2012,EML-mExt,Mineral,,,,Permafrost,CO2,Anaerobic,15,500,R1,0.44,Dry,0.00088,Table,18
Lee_2012_ToolikKarst_CO2_Anaerobic_15C_D500_R1,Lee,2012,ToolikKarst,Mineral,,,,Permafrost,CO2,Anaerobic,15,500,R1,0.16,Dry,0.00032,Table,19
Lee_2012_Fox_CO2_Anaerobic_15C_D500_R1,Lee,2012,Fox,Mineral,,,,Permafrost,CO2,Anaerobic,15,500,R1,0.27,Dry,0.00054,Table,20
Lee_2012_Siberia_CO2_Anaerobic_15C_D500_R1,Lee,2012,Siberia,Mineral,,,,Permafrost,CO2,Anaerobic,15,500,R1,0.41,Dry,0.00082,Table,21
Lee_2012_EML-oMin_CO2_Anaerobic_15C_D500_R1,Lee,2012,EML-oMin,Organic,,,,Permafrost,CO2,Anaerobic,15,500,R1,5.85,Dry,0.0117,Table,22
Lee_2012_EML-oMod_CO2_Anaerobic_15C_D500_R1,Lee,2012,EML-oMod,Organic,,,,Permafrost,CO2,Anaerobic,15,500,R1,6.14,Dry,0.01228,Table,23
Lee_2012_EML-oExt_CO2_Anaerobic_15C_D500_R1,Lee,2012,EML-oExt,Organic,,,,Permafrost,CO2,Anaerobic,15,500,R1,7.04,Dry,0.01408,Table,24
Lee_2012_Itkillik1_CH4_Anaerobic_15C_D500_R1,Lee,2012,Itkillik1,Mineral,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.0428,Dry,0.0000856,Table,25
Lee_2012_Itkillik2_CH4_Anaerobic_15C_D500_R1,Lee,2012,Itkillik2,Mineral,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.1162,Dry,0.0002324,Table,26
Lee_2012_Sagavanirktok_CH4_Anaerobic_15C_D500_R1,Lee,2012,Sagavanirktok,Mineral,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.0443,Dry,0.0000886,Table,27
Lee_2012_EML-mMin_CH4_Anaerobic_15C_D500_R1,Lee,2012,EML-mMin,Mineral,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.0132,Dry,0.0000264,Table,28
Lee_2012_EML-mMod_CH4_Anaerobic_15C_D500_R1,Lee,2012,EML-mMod,Mineral,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.0078,Dry,0.0000156,Table,29
Lee_2012_EML-mExt_CH4_Anaerobic_15C_D500_R1,Lee,2012,EML-mExt,Mineral,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.0063,Dry,0.0000126,Table,30
Lee_2012_ToolikKarst_CH4_Anaerobic_15C_D500_R1,Lee,2012,ToolikKarst,Mineral,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.0006,Dry,0.0000012,Table,31
Lee_2012_Fox_CH4_Anaerobic_15C_D500_R1,Lee,2012,Fox,Mineral,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.0008,Dry,0.0000016,Table,32
Lee_2012_Siberia_CH4_Anaerobic_15C_D500_R1,Lee,2012,Siberia,Mineral,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.0007,Dry,0.0000014,Table,33
Lee_2012_EML-oMin_CH4_Anaerobic_15C_D500_R1,Lee,2012,EML-oMin,Organic,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.5862,Dry,0.0011724,Table,34
Lee_2012_EML-oMod_CH4_Anaerobic_15C_D500_R1,Lee,2012,EML-oMod,Organic,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.5353,Dry,0.0010706,Table,35
Lee_2012_EML-oExt_CH4_Anaerobic_15C_D500_R1,Lee,2012,EML-oExt,Organic,,,,Permafrost,CH4,Anaerobic,15,500,R1,0.1749,Dry,0.0003498,Table,36
RoyChowdhury_2014_CenterOrganic_CO2_Anaerobic_8C_D7_R1,RoyChowdhury,2014,CenterOrganic,Organic,,,,ActiveLayer,CO2,Anaerobic,8,7,R1,9.149679,Wet,1.307097,Table,1
RoyChowdhury_2014_CenterOrganic_CO2_Anaerobic_4C_D7_R1,RoyChowdhury,2014,CenterOrganic,Organic,,,,ActiveLayer,CO2,Anaerobic,4,7,R1,6.253821,Wet,0.893403,Table,2
RoyChowdhury_2014_CenterOrganic_CO2_Anaerobic_-2C_D7_R1,RoyChowdhury,2014,CenterOrganic,Organic,,,,ActiveLayer,CO2,Anaerobic,-2,7,R1,3.234735,Wet,0.462105,Table,3
RoyChowdhury_2014_CenterMineral_CO2_Anaerobic_8C_D7_R1,RoyChowdhury,2014,CenterMineral,Mineral,,,,ActiveLayer,CO2,Anaerobic,8,7,R1,0.338877,Wet,0.048411,Table,4
RoyChowdhury_2014_CenterMineral_CO2_Anaerobic_4C_D7_R1,RoyChowdhury,2014,CenterMineral,Mineral,,,,ActiveLayer,CO2,Anaerobic,4,7,R1,0.2094876,Wet,0.0299268,Table,5
RoyChowdhury_2014_CenterMineral_CO2_Anaerobic_-2C_D7_R1,RoyChowdhury,2014,CenterMineral,Mineral,,,,ActiveLayer,CO2,Anaerobic,-2,7,R1,0.1478736,Wet,0.0211248,Table,6
RoyChowdhury_2014_CenterPermafrost_CO2_Anaerobic_8C_D7_R1,RoyChowdhury,2014,CenterPermafrost,,,,,Permafrost,CO2,Anaerobic,8,7,R1,0.1293894,Wet,0.0184842,Table,7
RoyChowdhury_2014_CenterPermafrost_CO2_Anaerobic_4C_D7_R1,RoyChowdhury,2014,CenterPermafrost,,,,,Permafrost,CO2,Anaerobic,4,7,R1,0.1078245,Wet,0.0154035,Table,8
RoyChowdhury_2014_CenterPermafrost_CO2_Anaerobic_-2C_D7_R1,RoyChowdhury,2014,CenterPermafrost,,,,,Permafrost,CO2,Anaerobic,-2,7,R1,0.0831789,Wet,0.0118827,Table,9
RoyChowdhury_2014_RidgeOrganic_CO2_Anaerobic_8C_D7_R1,RoyChowdhury,2014,RidgeOrganic,Organic,,,,ActiveLayer,CO2,Anaerobic,8,7,R1,1.6789815,Wet,0.2398545,Table,10
RoyChowdhury_2014_RidgeOrganic_CO2_Anaerobic_4C_D7_R1,RoyChowdhury,2014,RidgeOrganic,Organic,,,,ActiveLayer,CO2,Anaerobic,4,7,R1,1.2230379,Wet,0.1747197,Table,11
RoyChowdhury_2014_RidgeOrganic_CO2_Anaerobic_-2C_D7_R1,RoyChowdhury,2014,RidgeOrganic,Organic,,,,ActiveLayer,CO2,Anaerobic,-2,7,R1,0.3974103,Wet,0.0567729,Table,12
RoyChowdhury_2014_RidgeMineral_CO2_Anaerobic_8C_D7_R1,RoyChowdhury,2014,RidgeMineral,Mineral,,,,ActiveLayer,CO2,Anaerobic,8,7,R1,0.1139859,Wet,0.0162837,Table,13
RoyChowdhury_2014_RidgeMineral_CO2_Anaerobic_4C_D7_R1,RoyChowdhury,2014,RidgeMineral,Mineral,,,,ActiveLayer,CO2,Anaerobic,4,7,R1,0.0677754,Wet,0.0096822,Table,14
RoyChowdhury_2014_RidgeMineral_CO2_Anaerobic_-2C_D7_R1,RoyChowdhury,2014,RidgeMineral,Mineral,,,,ActiveLayer,CO2,Anaerobic,-2,7,R1,0.0184842,Wet,0.0026406,Table,15
RoyChowdhury_2014_TroughOrganic_CO2_Anaerobic_8C_D7_R1,RoyChowdhury,2014,TroughOrganic,Organic,,,,ActiveLayer,CO2,Anaerobic,8,7,R1,2.4861249,Wet,0.3551607,Table,16
